Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
"San Luis Trust Bank, FSB ",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,18-Feb-11
Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,18-Feb-11
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,18-Feb-11,18-Feb-11
Habersham Bank,Clarkesville,GA,151,SCBT National Association,18-Feb-11,18-Feb-11
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,18-Feb-11
Badger State Bank,Cassville,WI,13272,Royal Bank,11-Feb-11,18-Feb-11
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,11-Feb-11,18-Feb-11
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",11-Feb-11,18-Feb-11
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust,4-Feb-11,10-Feb-11
