Bank Name	City	State	CERT #	Acquiring Institution	Closing Date	Updated Date
San Luis Trust Bank, FSB	San Luis Obispo	CA	34783	First California Bank	2011-02-18	2011-02-18
Charter Oak Bank	Napa	CA	57855	Bank of Marin	2011-02-18	2011-02-18
Citizens Bank of Effingham	Springfield	GA	34601	Heritage Bank of the South	2011-02-18	2011-02-18
Habersham Bank	Clarkesville	GA	151	SCBT National Association	2011-02-18	2011-02-18
Canyon National Bank	Palm Springs	CA	34692	Pacific Premier Bank	2011-02-11	2011-02-18
Badger State Bank	Cassville	WI	13272	Royal Bank	2011-02-11	2011-02-18
Peoples State Bank	Hamtramck	MI	14939	First Michigan Bank	2011-02-11	2011-02-18
Sunshine State Community Bank	Port Orange	FL	35478	Premier American Bank, N.A.	2011-02-11	2011-02-18
Community First Bank Chicago	Chicago	IL	57948	Northbrook Bank & Trust	2011-02-04	2011-02-10
