PRICE,ADDRESS,CITY,STATE,ZIP,ORIG
35000,152 HAVEN ST N,Baltimore,MD,21224,BALTIMORE HIGHLANDS
144000,119 EATON ST S,Baltimore,MD,21224,BALTIMORE HIGHLANDS
92000,111 CONKLING ST S,Baltimore,MD,21224,BALTIMORE HIGHLANDS
164900,127 CONKLING ST S,Baltimore,MD,21224,BALTIMORE HIGHLANDS
189000,121 CONKLING ST S,Baltimore,MD,21224,BALTIMORE HIGHLANDS
50600,17 CONKLING ST S,Baltimore,MD,21224,BALTIMORE HIGHLANDS
53500,15 CONKLING ST S,Baltimore,MD,21224,BALTIMORE HIGHLANDS
159900,116 CONKLING ST S,Baltimore,MD,21224,BALTIMORE HIGHLANDS
195000,100 CONKLING ST S,Baltimore,MD,21224,BALTIMORE HIGHLANDS
