Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,8-May-09,26-Aug-10
America West Bank,Layton,UT,35461,Cache Valley Bank,1-May-09,26-Aug-10
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,1-May-09,27-Aug-10
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,1-May-09,27-Aug-10
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",24-Apr-09,27-Aug-10
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,24-Apr-09,27-Aug-10
Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,24-Apr-09,27-Aug-10
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,24-Apr-09,27-Aug-10
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,17-Apr-09,30-Nov-10
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,17-Apr-09,27-Aug-10
New Frontier Bank,Greeley,CO,34881,No Acquirer,10-Apr-09,27-Aug-10
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,10-Apr-09,27-Aug-10
Omni National Bank,Atlanta,GA,22238,No Acquirer,27-Mar-09,27-Aug-10
"TeamBank, NA",Paola,KS,4754,Great Southern Bank,20-Mar-09,27-Aug-10
Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,20-Mar-09,27-Aug-10
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,20-Mar-09,27-Aug-10
Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,6-Mar-09,27-Aug-10
Security Savings Bank,Henderson,NV,34820,Bank of Nevada,27-Feb-09,27-Aug-10
Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",27-Feb-09,27-Aug-10
Silver Falls Bank,Silverton,OR,35399,Citizens Bank,20-Feb-09,27-Aug-10
Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,13-Feb-09,27-Aug-10
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,13-Feb-09,27-Aug-10
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,13-Feb-09,27-Aug-10
Sherman County Bank,Loup City,NE,5431,Heritage Bank,13-Feb-09,27-Aug-10
County Bank,Merced,CA,22574,Westamerica Bank,6-Feb-09,27-Aug-10
Alliance Bank,Culver City,CA,23124,California Bank & Trust,6-Feb-09,27-Aug-10
FirstBank Financial Services,McDonough,GA,57017,Regions Bank,6-Feb-09,27-Aug-10
Ocala National Bank,Ocala,FL,26538,CenterState Bank of Florida,30-Jan-09,27-Aug-10
Suburban FSB,Crofton,MD,30763,Bank of Essex,30-Jan-09,27-Aug-10
MagnetBank,Salt Lake City,UT,58001,No Acquirer,30-Jan-09,22-Sep-10
1st Centennial Bank,Redlands,CA,33025,First California Bank,23-Jan-09,27-Aug-10
Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,16-Jan-09,27-Aug-10
National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,16-Jan-09,27-Aug-10
Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,12-Dec-08,27-Aug-10
Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",12-Dec-08,27-Aug-10
First Georgia Community Bank,Jackson,GA,34301,United Bank,5-Dec-08,27-Aug-10
PFF Bank & Trust ,Pomona,CA,28344,"U.S. Bank, N.A.",21-Nov-08,27-Aug-10
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",21-Nov-08,27-Aug-10
Community Bank,Loganville,GA,16490,Bank of Essex,21-Nov-08,27-Aug-10
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,7-Nov-08,27-Aug-10
"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,7-Nov-08,27-Aug-10
Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,31-Oct-08,27-Aug-10
Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",24-Oct-08,27-Aug-10
Meridian Bank,Eldred,IL,13789,National Bank,10-Oct-08,27-Aug-10
Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,10-Oct-08,27-Aug-10
Washington Mutual Bank,Henderson,NV,32633,JP Morgan Chase Bank,25-Sep-08,9-Nov-10
Ameribank,Northfork,WV,6782,The Citizens Savings Bank,19-Sep-08,27-Aug-10
Silver State Bank,Henderson,NV,34194,Nevada State Bank,5-Sep-08,27-Aug-10
Integrity Bank,Alpharetta,GA,35469,Regions Bank,29-Aug-08,27-Aug-10
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,22-Aug-08,27-Aug-10
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,1-Aug-08,27-Aug-10
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,25-Jul-08,27-Aug-10
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,25-Jul-08,27-Aug-10
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB.",11-Jul-08,15-Dec-10
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,30-May-08,27-Aug-10
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,9-May-08,27-Aug-10
Hume Bank,Hume,MO,1971,Security Bank,7-Mar-08,27-Aug-10
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,25-Jan-08,27-Aug-10
Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,4-Oct-07,27-Aug-10
NetBank,Alpharetta,GA,32575,ING DIRECT,28-Sep-07,27-Aug-10
Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2-Feb-07,27-Aug-10
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,25-Jun-04,9-Apr-08
Reliance Bank,White Plains,NY,26778,Union State Bank,19-Mar-04,9-Apr-08
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,12-Mar-04,30-Aug-10
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,14-Feb-04,9-Apr-08
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,14-Nov-03,22-Jul-05
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,9-May-03,21-Sep-10
Southern Pacific Bank,Torrance,CA,27094,"Beal Bank, SSB.",7-Feb-03,20-Oct-08
Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,17-Dec-02,20-Oct-04
Bank of Alamo,Alamo,TN,9961,No Acquirer,8-Nov-02,18-Mar-05
AmTrade International Bank,Atlanta,GA,33784,No Acquirer,30-Sep-02,11-Sep-06
Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,27-Jun-02,9-Apr-08
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,26-Jun-02,27-Aug-10
New Century Bank,Shelby Township,MI,34979,No Acquirer,28-Mar-02,18-Mar-05
Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,1-Mar-02,9-Apr-08
"NextBank, NA",Phoenix,AZ,22314,No Acquirer,7-Feb-02,27-Aug-10
Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,1-Feb-02,27-Aug-10
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,18-Jan-02,6-Nov-03
"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,11-Jan-02,27-Aug-10
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,7-Sep-01,10-Feb-04
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",27-Jul-01,27-Aug-10
Malta National Bank,Malta,OH,6629,North Valley Bank,3-May-01,18-Nov-02
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2-Feb-01,18-Feb-03
National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,14-Dec-00,17-Mar-05
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,13-Oct-00,17-Mar-05
